ID,Date,Open,High,Low,Close,Volume
229,2022-11-18,88700.0,91500.0,88100.0,88400.0,2981192
230,2022-11-21,87600.0,87700.0,86100.0,86300.0,2111523
231,2022-11-22,85500.0,86600.0,84900.0,85200.0,1617131
232,2022-11-23,86100.0,86700.0,84900.0,85200.0,1480400
233,2022-11-24,86900.0,87200.0,85700.0,86900.0,2148255
234,2022-11-25,87200.0,87300.0,85100.0,85100.0,1439011
235,2022-11-28,84100.0,84200.0,82900.0,83100.0,2471506
236,2022-11-29,82700.0,83800.0,82100.0,83700.0,1501783
237,2022-11-30,83200.0,85400.0,83100.0,85000.0,3332708
238,2022-12-01,87300.0,87300.0,84600.0,84700.0,2878591
239,2022-12-02,83900.0,83900.0,81800.0,81900.0,4594058
240,2022-12-05,81900.0,82300.0,80700.0,81000.0,3516456
241,2022-12-06,79900.0,81100.0,79800.0,81000.0,2781352
242,2022-12-07,79900.0,80700.0,78700.0,78900.0,3589926
243,2022-12-08,78200.0,79800.0,78200.0,78800.0,3809847
244,2022-12-09,79400.0,81500.0,79300.0,81500.0,2985508
245,2022-12-12,80100.0,81300.0,79500.0,81100.0,1242007
246,2022-12-13,81300.0,82700.0,80500.0,82300.0,2761104
247,2022-12-14,82100.0,82600.0,81100.0,81800.0,2357491
248,2022-12-15,80600.0,81100.0,79900.0,80200.0,1713617
249,2022-12-16,77700.0,79400.0,77500.0,78400.0,3827227
250,2022-12-19,78300.0,80100.0,78300.0,79000.0,1813544
251,2022-12-20,78200.0,78900.0,77800.0,78300.0,1361926
252,2022-12-21,78500.0,79200.0,78000.0,78000.0,1513864
253,2022-12-22,78500.0,79300.0,77900.0,79200.0,2061883
254,2022-12-23,77800.0,78300.0,77300.0,77800.0,1554446
255,2022-12-26,77700.0,77700.0,76500.0,77000.0,1414717
256,2022-12-27,77500.0,77600.0,76500.0,77000.0,1694225
257,2022-12-28,76800.0,77000.0,75400.0,76000.0,1891221
258,2022-12-29,75200.0,75600.0,74700.0,75000.0,1736661
259,2023-01-02,75100.0,76700.0,75000.0,75700.0,1376985
260,2023-01-03,75600.0,76300.0,73100.0,75600.0,2719437
261,2023-01-04,75400.0,81900.0,75200.0,81000.0,5154609
262,2023-01-05,83300.0,83300.0,80800.0,81400.0,3510964
263,2023-01-06,81400.0,83600.0,81100.0,83100.0,3687430
264,2023-01-09,84900.0,86000.0,83500.0,86000.0,3948670
265,2023-01-10,85500.0,87200.0,85000.0,86500.0,3105311
266,2023-01-11,87800.0,88400.0,86500.0,87300.0,3083961
267,2023-01-12,88100.0,88100.0,85800.0,86800.0,3065582
268,2023-01-13,86800.0,87500.0,85400.0,85700.0,2058890
269,2023-01-16,86000.0,86500.0,84900.0,85800.0,1512876
270,2023-01-17,86400.0,87200.0,85700.0,86000.0,1586136
271,2023-01-18,86400.0,86500.0,84500.0,85100.0,1494262
272,2023-01-19,84000.0,85800.0,84000.0,85500.0,1674834
273,2023-01-20,86300.0,87800.0,86100.0,87600.0,2386074
274,2023-01-25,92000.0,92000.0,90600.0,91400.0,5019
275,2023-01-26,90800.0,92300.0,90100.0,91400.0,4542
276,2023-01-27,91300.0,92800.0,90300.0,91500.0,5083
277,2023-01-30,91300.0,91600.0,90000.0,90700.0,6289
278,2023-01-31,90800.0,90800.0,86800.0,88500.0,29971
279,2023-02-01,91200.0,91400.0,88500.0,91400.0,8975
280,2023-02-02,94900.0,94900.0,92700.0,91400.0,8254
281,2023-02-03,92400.0,93200.0,91300.0,92200.0,13644
282,2023-02-06,91400.0,92000.0,89100.0,89100.0,14291
283,2023-02-07,88800.0,91200.0,88800.0,90800.0,6885
284,2023-02-08,91700.0,95000.0,91600.0,94900.0,18320
285,2023-02-09,94800.0,94800.0,92600.0,94900.0,12117
286,2023-02-10,94300.0,94700.0,93100.0,93500.0,4669
287,2023-02-13,92000.0,92000.0,89900.0,90600.0,22453
288,2023-02-14,91800.0,93500.0,91600.0,93400.0,11361
289,2023-02-15,93800.0,94200.0,91200.0,91700.0,6599
290,2023-02-16,91900.0,93400.0,91600.0,92900.0,4182
291,2023-02-17,91400.0,92700.0,90900.0,92000.0,5053
292,2023-02-20,92700.0,93300.0,90700.0,92500.0,5083
293,2023-02-21,92500.0,92600.0,90900.0,91200.0,4942
294,2023-02-22,89900.0,90300.0,88500.0,89100.0,7566
295,2023-02-23,90000.0,93700.0,89600.0,92700.0,7805
296,2023-02-24,93500.0,94000.0,91000.0,91000.0,11917
297,2023-02-27,90100.0,90300.0,89100.0,90000.0,1893345
298,2023-02-28,91000.0,91000.0,88700.0,89400.0,2082486
299,2023-03-02,89400.0,90300.0,87500.0,88100.0,2744038
300,2023-03-03,88500.0,89200.0,87200.0,87300.0,2239958
301,2023-03-06,87900.0,89800.0,87500.0,89700.0,2374415
302,2023-03-07,89700.0,90000.0,88800.0,88900.0,1610948
303,2023-03-08,87700.0,87800.0,86400.0,86800.0,2790989
